platform_id,name,alternative_name,platform_logo,slug,url,generation,platform_family,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Sega Pico,Kids Computer Pico,,sega-pico,https://www.igdb.com/platforms/sega-pico,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sega Saturn,JVC Saturn| Hi-Saturn| Samsung Saturn| V-Saturn,49,saturn,https://www.igdb.com/platforms/saturn,5,3,Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SG-1000,Sega Game 1000,223,sg1000,https://www.igdb.com/platforms/sg1000,3,3,sg1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Visual Memory Unit / Visual Memory System,VMU / VMS,728,visual-memory-unit-slash-visual-memory-system,https://www.igdb.com/platforms/visual-memory-unit-slash-visual-memory-system,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Xbox,,266,xbox,https://www.igdb.com/platforms/xbox,6,2,XBOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Xbox 360,X360,622,xbox360,https://www.igdb.com/platforms/xbox360,7,2,X360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Xbox One,XONE,329,xboxone,https://www.igdb.com/platforms/xboxone,8,2,XONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Xbox Series X|S,XSX,561,series-x,https://www.igdb.com/platforms/series-x,9,2,Series X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PlayStation,PSX| PSOne| PS,278,ps,https://www.igdb.com/platforms/ps,5,1,PS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PlayStation 2,PS2,254,ps2,https://www.igdb.com/platforms/ps2,6,1,PS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PlayStation 3,PS3,79,ps3,https://www.igdb.com/platforms/ps3,7,1,PS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PlayStation 4,PS4,231,ps4--1,https://www.igdb.com/platforms/ps4--1,8,1,PS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PlayStation 5,PS5,463,ps5,https://www.igdb.com/platforms/ps5,9,1,PS5,,,99,51,307,33,24,22,137,37,4,416,20,159,18,21,131,130,166,306,58,19,87,47,5,41,3,23,30,78,35,64,29,339,32,84,440,11,12,49,169,7,8,9,48,167,38,46,165,390,441
38,PlayStation Portable,PSP,214,psp,https://www.igdb.com/platforms/psp,7,1,PSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PlayStation Vita,PS Vita,232,psvita,https://www.igdb.com/platforms/psvita,8,1,Vita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PlayStation VR,PSVR,161,playstation-vr,https://www.igdb.com/platforms/playstation-vr,8,1,PlayStation VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,PlayStation VR2,PSVR2,738,psvr2,https://www.igdb.com/platforms/psvr2,9,1,PSVR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,PocketStation,,,pocketstation,https://www.igdb.com/platforms/pocketstation,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1292 Advanced Programmable Video System,,136,1292-advanced-programmable-video-system,https://www.igdb.com/platforms/1292-advanced-programmable-video-system,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3DO Interactive Multiplayer,3DO,282,3do,https://www.igdb.com/platforms/3do,5,,3DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Acorn Archimedes,,388,acorn-archimedes,https://www.igdb.com/platforms/acorn-archimedes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Acorn Electron,,301,acorn-electron,https://www.igdb.com/platforms/acorn-electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,AirConsole,,,airconsole,https://www.igdb.com/platforms/airconsole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Amazon Fire TV,,325,amazon-fire-tv,https://www.igdb.com/platforms/amazon-fire-tv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Amiga,,,amiga,https://www.igdb.com/platforms/amiga,,,Amiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Amiga CD32,,283,amiga-cd32,https://www.igdb.com/platforms/amiga-cd32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Amstrad CPC,Colour Personal Computer,114,acpc,https://www.igdb.com/platforms/acpc,,,ACPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Amstrad PCW,,547,amstrad-pcw,https://www.igdb.com/platforms/amstrad-pcw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Analogue electronics,,,analogueelectronics,https://www.igdb.com/platforms/analogueelectronics,,,analogueelectronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Android,Infocusa3,376,android,https://www.igdb.com/platforms/android,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Apple II,apple ][,315,appleii,https://www.igdb.com/platforms/appleii,,,Apple][,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Apple IIGS,,295,apple-iigs,https://www.igdb.com/platforms/apple-iigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Arcade,,,arcade,https://www.igdb.com/platforms/arcade,,,Arcade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Arduboy,,,arduboy,https://www.igdb.com/platforms/arduboy,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Atari 2600,Atari VCS,309,atari2600,https://www.igdb.com/platforms/atari2600,2,,Atari2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Atari 5200,Atari 5200 SuperSystem,304,atari5200,https://www.igdb.com/platforms/atari5200,2,,Atari5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Atari 7800,Atari 7800 ProSystem,303,atari7800,https://www.igdb.com/platforms/atari7800,3,,Atari7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Atari 8-bit,,373,atari8bit,https://www.igdb.com/platforms/atari8bit,,,Atari8bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Atari Jaguar,,286,jaguar,https://www.igdb.com/platforms/jaguar,5,,Jaguar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Atari Jaguar CD,Jag CD,688,atari-jaguar-cd,https://www.igdb.com/platforms/atari-jaguar-cd,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Atari Lynx,,290,lynx,https://www.igdb.com/platforms/lynx,4,,Lynx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Atari ST/STE,,367,atari-st,https://www.igdb.com/platforms/atari-st,,,Atari-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,AY-3-8500,,128,ay-3-8500,https://www.igdb.com/platforms/ay-3-8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,AY-3-8603,,,ay-3-8603,https://www.igdb.com/platforms/ay-3-8603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,AY-3-8605,,,ay-3-8605,https://www.igdb.com/platforms/ay-3-8605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,AY-3-8606,,,ay-3-8606,https://www.igdb.com/platforms/ay-3-8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,AY-3-8607,,,ay-3-8607,https://www.igdb.com/platforms/ay-3-8607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,AY-3-8610,,,ay-3-8610,https://www.igdb.com/platforms/ay-3-8610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,AY-3-8710,,,ay-3-8710,https://www.igdb.com/platforms/ay-3-8710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,AY-3-8760,,,ay-3-8760,https://www.igdb.com/platforms/ay-3-8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bally Astrocade,Bally Arcade,,astrocade,https://www.igdb.com/platforms/astrocade,2,,astrocade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
